Threads,Size,Naive(ms),NaiveOMP(ms),Strassen(ms),StrassenOMP(ms),NaiveOMP Speedup,StrassenOMP Speedup
2,256x256,3,1,3,1,3.00,3.00
2,512x512,20,10,18,9,2.00,2.00
2,768x768,63,36,70,37,1.75,1.89
2,1024x1024,147,83,131,68,1.77,1.93
2,1280x1280,279,165,335,174,1.69,1.93
2,1536x1536,480,287,520,282,1.67,1.84
2,1792x1792,772,396,776,397,1.95,1.95
2,2048x2048,1158,646,945,496,1.79,1.91
2,2304x2304,1759,1076,2006,976,1.63,2.06
2,2560x2560,2460,1405,2515,1458,1.75,1.72
4,256x256,2,0,4,4,inf,1.00
4,512x512,19,5,24,8,3.80,3.00
4,768x768,63,17,90,32,3.71,2.81
4,1024x1024,148,41,147,44,3.61,3.34
4,1280x1280,280,75,361,105,3.73,3.44
4,1536x1536,476,128,642,164,3.72,3.91
4,1792x1792,761,213,804,254,3.57,3.17
4,2048x2048,1135,322,1054,355,3.52,2.97
4,2304x2304,1766,812,1993,535,2.17,3.73
4,2560x2560,2274,1188,2537,895,1.91,2.83
8,256x256,2,0,2,2,inf,1.00
8,512x512,19,3,21,5,6.33,4.20
8,768x768,64,10,101,29,6.40,3.48
8,1024x1024,150,25,168,33,6.00,5.09
8,1280x1280,289,46,381,76,6.28,5.01
8,1536x1536,482,74,683,110,6.51,6.21
8,1792x1792,762,114,827,142,6.68,5.82
8,2048x2048,1138,484,1064,176,2.35,6.05
8,2304x2304,1618,324,2479,380,4.99,6.52
8,2560x2560,2279,661,2566,854,3.45,3.00
10,256x256,3,1,5,3,3.00,1.67
10,512x512,25,5,25,5,5.00,5.00
10,768x768,66,9,83,19,7.33,4.37
10,1024x1024,148,22,192,32,6.73,6.00
10,1280x1280,427,115,395,63,3.71,6.27
10,1536x1536,483,80,562,94,6.04,5.98
10,1792x1792,763,112,835,135,6.81,6.19
10,2048x2048,1241,180,975,178,6.89,5.48
10,2304x2304,1603,798,2008,433,2.01,4.64
10,2560x2560,2168,671,2595,565,3.23,4.59
