Threads,Size,Naive(ms),NaiveConcurrent(ms),Strassen(ms),StrassenConcurrent(ms),NaiveConcurrent Speedup,StrassenConcurrent Speedup
2,256x256,22,22,22,11,1.00,2.00
2,512x512,68,52,68,38,1.31,1.79
2,768x768,232,209,195,101,1.11,1.93
2,1024x1024,552,1277,406,216,0.43,1.88
2,1280x1280,1094,1689,847,485,0.65,1.75
2,1536x1536,1871,3228,1351,700,0.58,1.93
2,1792x1792,3041,5461,2076,1032,0.56,2.01
2,2048x2048,4618,13358,3303,1465,0.35,2.25
2,2304x2304,7095,16276,5150,2910,0.44,1.77
2,2560x2560,8913,22744,6525,3714,0.39,1.76
4,256x256,9,4,8,5,2.25,1.60
4,512x512,68,29,57,17,2.34,3.35
4,768x768,234,168,184,58,1.39,3.17
4,1024x1024,558,773,424,154,0.72,2.75
4,1280x1280,1156,1905,931,273,0.61,3.41
4,1536x1536,1889,2977,1384,383,0.63,3.61
4,1792x1792,3039,4214,2391,875,0.72,2.73
4,2048x2048,4760,11022,3164,1083,0.43,2.92
4,2304x2304,6657,9692,4883,1899,0.69,2.57
4,2560x2560,8769,18082,8324,2338,0.48,3.56
8,256x256,12,6,9,4,2.00,2.25
8,512x512,69,24,56,10,2.88,5.60
8,768x768,233,114,207,35,2.04,5.91
8,1024x1024,555,471,454,79,1.18,5.75
8,1280x1280,1126,944,868,193,1.19,4.50
8,1536x1536,2053,1283,1430,274,1.60,5.22
8,1792x1792,3098,2807,2059,493,1.10,4.18
8,2048x2048,4641,5192,3060,834,0.89,3.67
8,2304x2304,6539,6870,5949,1813,0.95,3.28
8,2560x2560,9125,11022,6053,2510,0.83,2.41
10,256x256,12,4,11,3,3.00,3.67
10,512x512,70,21,56,9,3.33,6.22
10,768x768,232,95,203,32,2.44,6.34
10,1024x1024,551,360,454,60,1.53,7.57
10,1280x1280,1088,586,870,163,1.86,5.34
10,1536x1536,1869,1823,1361,239,1.03,5.69
10,1792x1792,3100,2889,2084,373,1.07,5.59
10,2048x2048,5586,6330,3302,896,0.88,3.69
10,2304x2304,6497,6758,4823,1734,0.96,2.78
10,2560x2560,9190,11177,6857,3955,0.82,1.73
